,state,cost
0,Connecticut,44425.0
1,Maine,16306.0
2,Massachusetts,91817.0
3,New Hampshire,16113.0
4,Rhode Island,12362.0
5,Vermont,7951.0
6,Delaware,12729.0
7,District of Columbia,10251.0
8,Maryland,65641.0
9,New Jersey,105416.0
10,New York,270847.0
11,Pennsylvania,148327.0
12,Illinois,128263.0
13,Indiana,71040.0
14,Michigan,98638.0
15,Ohio,122521.0
16,Wisconsin,58220.0
17,Iowa,30968.0
18,Kansas,27414.0
19,Minnesota,61357.0
20,Missouri,61031.0
21,Nebraska,20371.0
22,North Dakota,8649.0
23,South Dakota,11154.0
24,Alabama,45673.0
25,Arkansas,28300.0
26,Florida,214408.0
27,Georgia,93803.0
28,Kentucky,45922.0
29,Louisiana,48845.0
30,Mississippi,27870.0
31,North Carolina,94532.0
32,South Carolina,45742.0
33,Tennessee,64295.0
34,Virginia,78989.0
35,West Virginia,22790.0
36,Arizona,64980.0
37,New Mexico,18750.0
38,Oklahoma,37595.0
39,Texas,246812.0
40,Colorado,49849.0
41,Idaho,14886.0
42,Montana,11035.0
43,Utah,24447.0
44,Wyoming,6399.0
45,Alaska,9975.0
46,California,405451.0
47,Hawaii,14480.0
48,Nevada,26200.0
49,Oregon,42716.0
50,Washington,71277.0
