state,cases,deaths,cost,mask,pop
Alabama,1648385,21631.0,45673.0,0.7303992537313432,5039877.0
Alaska,308893,1438.0,9975.0,0.7644199999999999,732673.0
American Samoa,8309,34.0,,,
Arizona,2451062,33190.0,64980.0,0.8261333333333333,7276316.0
Arkansas,1008303,13068.0,28300.0,0.71933,3025891.0
California,12169158,104277.0,405451.0,0.8731163793103448,39237836.0
Colorado,1771010,14245.0,49849.0,0.79730078125,5812069.0
Connecticut,978456,12270.0,44425.0,0.90684375,3605597.0
Delaware,332861,3352.0,12729.0,0.9214166666666668,1003384.0
District of Columbia,178226,1487.0,10251.0,0.90375,670050.0
Florida,7542869,87141.0,214408.0,0.7978283582089553,21781128.0
Georgia,2984923,41056.0,93803.0,0.7448254716981132,10799566.0
Guam,62077,421.0,,,
Hawaii,372408,1851.0,14480.0,0.92385,1441553.0
Idaho,522919,5456.0,14886.0,0.6603068181818181,1900923.0
Illinois,4107931,41618.0,128263.0,0.7559607843137255,12671469.0
Indiana,2054533,26179.0,71040.0,0.7172309782608697,6805985.0
Iowa,907421,10770.0,30968.0,0.6702752525252524,3193079.0
Kansas,940815,10232.0,27414.0,0.6649833333333334,2934582.0
Kentucky,1723722,18348.0,45922.0,0.7337208333333333,4509394.0
Louisiana,1580709,18835.0,48845.0,0.75433984375,4624047.0
Maine,319997,2981.0,16306.0,0.808078125,1372247.0
Maryland,1369930,16672.0,65641.0,0.8951250000000001,6165129.0
Massachusetts,2230150,24441.0,91817.0,0.9186607142857144,6984723.0
Michigan,3068195,42311.0,98638.0,0.8044277108433735,10050811.0
Minnesota,1784263,14964.0,61357.0,0.6663074712643678,5707390.0
Mississippi,993035,13431.0,27870.0,0.7586920731707317,2949965.0
Missouri,1794207,23998.0,61031.0,0.6420782608695652,6168187.0
Montana,330875,3701.0,11035.0,0.5942366071428572,1104271.0
Nebraska,570835,5068.0,20371.0,0.649739247311828,1963692.0
Nevada,892814,12093.0,26200.0,0.8376764705882352,3143991.0
New Hampshire,379689,3018.0,16113.0,0.8181499999999999,1388992.0
New Jersey,3057442,36097.0,105416.0,0.8968809523809524,9267130.0
New Mexico,673541,9110.0,18750.0,0.8414848484848484,2115877.0
New York,6805271,80138.0,270847.0,0.9026491228070176,19835913.0
North Carolina,3481732,29746.0,94532.0,0.812705,10551162.0
North Dakota,288106,2529.0,8649.0,0.5600707547169811,774948.0
Northern Mariana Islands,13395,41.0,,,
Ohio,3415254,42061.0,122521.0,0.7026761363636363,11780017.0
Oklahoma,1295832,16549.0,37595.0,0.6691688311688312,3986639.0
Oregon,967156,9451.0,42716.0,0.8366180555555556,4246155.0
Pennsylvania,3539135,50701.0,148327.0,0.8519365671641791,12964056.0
Puerto Rico,1139243,5848.0,,,3263584.0
Rhode Island,461788,3915.0,12362.0,0.9264,1095610.0
South Carolina,1840458,20192.0,45742.0,0.7477989130434782,5190705.0
South Dakota,280525,3222.0,11154.0,0.6348636363636364,895376.0
Tennessee,2459152,29035.0,64295.0,0.6856526315789474,6975218.0
Texas,8447233,94518.0,246812.0,0.8075738188976378,29527941.0
Utah,1093049,5316.0,24447.0,0.7070344827586206,3337975.0
Vermont,153198,939.0,7951.0,0.8198214285714285,645570.0
Virgin Islands,24838,130.0,,,
Virginia,2298300,23782.0,78989.0,0.8308270676691729,8642274.0
Washington,1940704,15905.0,71277.0,0.8517307692307693,7738692.0
West Virginia,645710,8132.0,22790.0,0.7335409090909091,1782959.0
Wisconsin,2014524,16485.0,58220.0,0.7059305555555555,5895908.0
Wyoming,185800,2014.0,6399.0,0.6111847826086957,578803.0
